,Latent Factor 1,Latent Factor 2,Latent Factor 3,Latent Factor 4,Latent Factor 5,Latent Factor 6,Latent Factor 7
65,7.738099,3.9110212,2.5663953,6.193498,6.2683983,2.6168196,2.530842
66,8.104042,5.251877,3.540784,5.463062,5.243404,2.975566,2.1836812
67,1.5549817,6.44888,1.2358071,2.0456448,4.3044996,2.796286,5.1924033
68,2.830206,6.6603603,1.3825799,3.339053,3.480494,2.4998214,4.6135287
69,1.8496099,6.4152565,1.276433,2.3802516,4.2891455,2.7771938,5.0734444
70,7.375477,3.481845,1.5858482,6.390421,6.4082203,2.2123427,2.904735
71,7.930848,2.3453758,1.0343832,7.278821,7.07783,2.410134,3.7872245
72,7.2363644,3.619146,1.6362122,6.2399173,6.341182,2.0694466,2.642136
73,6.0369296,6.0710573,2.6266441,4.3582873,4.6696796,2.8529065,3.2087648
74,1.7025489,6.4848747,1.2124672,2.1787128,4.380095,2.7066247,5.256063
75,7.400236,2.978126,2.1234262,7.0963717,8.829235,2.9904363,4.2410855
76,7.954047,5.78582,4.0036635,4.8791833,4.81785,3.2444293,2.3101315
77,7.5752344,2.8449583,2.195891,7.165109,8.757134,3.1161852,4.2325277
78,7.848768,2.4369874,1.1644317,7.1542654,7.057141,2.4959178,3.7110069
79,8.306903,4.239903,3.9081433,5.770199,5.9571266,3.6544266,2.578568
80,8.202985,4.0871615,3.5321572,5.9460235,6.1031237,3.3426232,2.591657
81,1.8443035,6.5467634,1.2094662,2.2440348,4.339976,2.6083643,5.2834063
82,6.967814,3.42573,0.97343695,6.08213,6.3270364,1.2088453,1.603364
83,7.5647144,3.7706926,2.2401545,6.262957,6.417408,2.4707513,2.6590319
84,2.5389886,7.0137777,0.81757873,3.5829954,3.2657657,2.5073566,4.0478783
85,2.5803208,7.0137086,0.80798984,3.6296449,3.2542331,2.5206792,4.0361567
86,7.685439,2.8344777,1.3126308,6.8912334,6.702128,2.4026601,3.369034
87,7.7856894,6.1644726,4.0636463,4.546304,4.6419244,3.3288293,2.2691133
88,2.7844436,6.608633,1.3823947,3.281803,3.4541926,2.435409,4.6748333
89,7.738575,2.7911756,1.2405881,6.8667245,6.6599064,2.3424442,3.377409
90,7.8387623,2.2873473,1.0496166,7.2535667,7.276005,2.442493,3.8899066
91,7.494486,5.1328626,2.9365482,5.455471,5.3643904,2.6403675,2.5701442
92,7.4753876,3.691468,2.0245464,6.2840676,6.4116,2.3444073,2.6700592
93,6.1414247,6.263483,2.922283,4.266913,4.6103725,2.952226,3.174949
94,6.991773,3.4952996,1.8042421,6.836383,8.096938,2.483449,3.973293
95,7.8806376,2.282569,0.9588195,7.1606374,7.03191,2.345132,3.764616
96,2.7811167,6.685961,1.4115555,3.064855,3.792721,2.5403752,4.709412
97,7.9532056,4.950378,3.27905,5.590637,5.438152,2.8517451,2.3185253
98,7.698874,6.0717545,3.965891,4.599689,4.716417,3.3306556,2.3688471
99,7.7813563,2.2670772,1.0922724,7.200933,7.388718,2.4998944,3.9155917
100,7.6831923,5.6183186,3.426013,5.0946655,5.0029173,2.8835452,2.4430904
101,1.9002094,6.5053554,1.3560673,2.4155653,4.2787204,2.7307734,5.045531
102,7.8842773,6.1230974,4.082417,4.6246924,4.6909347,3.3201778,2.2044947
103,8.011922,4.229043,3.0692594,6.007452,5.9327197,2.8460884,2.3855023
104,7.502884,5.497666,3.1675875,5.1306577,5.111473,2.7267148,2.5261488
105,7.930309,5.3137484,3.4643571,5.3695674,5.200283,2.9560912,2.372576
106,7.715675,2.904352,1.5292566,6.9158063,6.954752,2.5175662,3.4701803
107,7.4532137,5.2788815,3.0578103,5.280628,5.236412,2.7152536,2.6093392
108,7.5242786,3.3375356,1.6641251,6.536647,6.5679817,2.3284883,2.9951863
109,8.064892,4.531704,3.6783538,5.5737133,5.7245874,3.416272,2.6468453
